_key,followers_count,query_tweet_count,friends_count,statuses_count,listed_count,favourites_count,count_followers_in_query,screen_name,profile_image_url,influential,original
27546319,4094,0,5000,17876,208,47742,9,roboticwrestler,http://pbs.twimg.com/profile_images/1047978249446469640/0s5SdWHj_normal.jpg,true,true
765548,115984,0,1619,18015,5385,13298,9,hmason,http://pbs.twimg.com/profile_images/948689418709323777/sTBM3vG0_normal.jpg,true,true
78729443,10135,0,646,4664,489,2070,9,joe_hellerstein,http://pbs.twimg.com/profile_images/378800000853730526/16897d0c3738f0d7980b2e7bc7bd68a7_normal.jpeg,true,true
146365761,1422,0,491,1514,109,1471,9,zanstrong,http://pbs.twimg.com/profile_images/941385711101517824/P1UIpGux_normal.jpg,true,true
14875983,8229,0,397,3350,561,1314,9,shancarter,http://pbs.twimg.com/profile_images/445277742917894144/skzhyXCh_normal.jpeg,true,true
24228154,23512,0,1907,23584,857,29585,9,hspter,http://pbs.twimg.com/profile_images/611535712710729728/ZrqMrN21_normal.jpg,true,true
534166347,168,0,113,155,3,493,9,Bahador10,http://pbs.twimg.com/profile_images/2712955202/e37f8a545dc3ea65511b5aebd2fba5c4_normal.png,true,true
59773247,4353,0,510,2911,130,8297,9,visnut,http://pbs.twimg.com/profile_images/551002016953036800/FsQNJ2yh_normal.jpeg,true,true
6490642,27168,0,297,13862,1332,9218,9,golan,http://pbs.twimg.com/profile_images/847613367523057667/9bS5M-S__normal.jpg,true,true
130745589,313611,0,246,956,2828,3213,8,drfeifei,http://pbs.twimg.com/profile_images/841385099799085056/R1iX4QGX_normal.jpg,true,true
555102816,3955,0,526,827,248,1137,8,adamrpearce,http://pbs.twimg.com/profile_images/608434745740029952/KDJPaQ-s_normal.png,true,true
12377822,8321,0,776,18851,508,14289,8,rachelbinx,http://pbs.twimg.com/profile_images/1077724539063230464/p-rh1ink_normal.jpg,true,true
98303566,8981,0,83,2400,579,1101,8,bocoup,http://pbs.twimg.com/profile_images/878736099/twitter_normal.png,true,true
347276428,6003,0,537,639,438,2142,8,13pt,http://pbs.twimg.com/profile_images/889477101811781634/6955d3_X_normal.jpg,true,true
19301681,964,0,437,1937,62,1225,8,trebor,http://pbs.twimg.com/profile_images/1002772548638015489/JcB2zqU7_normal.jpg,true,true
18115856,598,0,561,2711,44,1015,8,cvoxel,http://pbs.twimg.com/profile_images/3318868451/75f28d997abbb4790d7ad8016586408b_normal.jpeg,true,true
2167059661,25460,0,574,11953,750,27086,8,JennyBryan,http://pbs.twimg.com/profile_images/963651380073426944/x1eX_M7n_normal.jpg,true,true
219160436,210,0,405,10288,17,53291,8,chadstolper,http://pbs.twimg.com/profile_images/887052496136359937/1hF_pmn9_normal.jpg,true,true
57191565,1677,0,71,906,135,2294,8,nigelblue,http://pbs.twimg.com/profile_images/1973193042/image_normal.jpg,true,true
752673,261473,0,3283,9937,10027,12962,8,jeresig,http://pbs.twimg.com/profile_images/1090714620275245056/HS9xcEDk_normal.jpg,true,true
25151614,4291,0,317,1912,488,2101,8,nbrgraphs,http://pbs.twimg.com/profile_images/528613100753129472/JOp_yXYr_normal.jpeg,true,true
1710706561,1825,0,435,12875,164,7599,8,cartocalypse,http://pbs.twimg.com/profile_images/1115347058750365696/fH1JaiuL_normal.png,true,true
13074042,25054,0,669,19334,707,34323,7,juliasilge,http://pbs.twimg.com/profile_images/1058400729092640768/8iUo3H5T_normal.jpg,true,true
1022369413461291008,581,0,424,98,22,102,7,idyll_lang,http://pbs.twimg.com/profile_images/1022371516112023553/eTF7EEpD_normal.jpg,true,true
19411223,3569,0,475,3259,225,2459,7,vicapow,http://pbs.twimg.com/profile_images/378800000484345670/b07b52a6f4e4b84f683bd997b2bad528_normal.jpeg,true,true
16017475,3203729,0,1178,23824,30420,642,7,NateSilver538,http://pbs.twimg.com/profile_images/668814368008708096/5HABV7bJ_normal.png,true,true
5685812,10827,0,421,77803,669,12779,7,hrbrmstr,http://pbs.twimg.com/profile_images/824974380803334144/Vpmh_s3x_normal.jpg,true,true
119704541,15110,0,882,18233,745,10284,7,acotgreave,http://pbs.twimg.com/profile_images/1093476843041243136/ifLWS_wZ_normal.jpg,true,true
85340453,1543,0,298,779,152,1088,7,syntagmatic,http://pbs.twimg.com/profile_images/767900641855279106/lC-KlGyo_normal.jpg,true,true
261363584,2603,0,351,1321,318,389,7,thewhyaxis,http://pbs.twimg.com/profile_images/2419580959/iccptt6eyebyhchjiv3h_normal.png,true,true
1314101,1885,0,1077,770,87,1065,7,eytanadar,http://pbs.twimg.com/profile_images/1336587806/adar_eytan_normal.jpg,true,true
4071761,5129,0,1079,1176,434,15,7,mericson,http://pbs.twimg.com/profile_images/1366506513/matt-tony-auth-dark_normal.jpg,true,true
582282558,15613,0,71,1656,1059,86,7,nprviz,http://pbs.twimg.com/profile_images/416216781196230658/0tyIaGLA_normal.png,true,true
17461965,1317,0,1032,2866,126,968,7,poezn,http://pbs.twimg.com/profile_images/502849363048017920/d-8afRvZ_normal.jpeg,true,true
16112517,21097,28,884,23001,1546,3764,35,eagereyes,http://pbs.twimg.com/profile_images/925567815829950464/-GsyOVeo_normal.jpg,true,true
1652270612,5155,11,337,2873,257,12737,32,tamaramunzner,http://pbs.twimg.com/profile_images/927793489575690241/TWEirFl2_normal.jpg,true,true
179797676,5335,0,57,867,246,22,33,ieeevis,http://pbs.twimg.com/profile_images/1091507009596190720/ElfV70z7_normal.jpg,true,true
370227242,979,0,181,1260,62,1457,32,jdfaviz,http://pbs.twimg.com/profile_images/1842976744/Jean-Daniel_Fekete_tiny_normal.jpg,true,true
190564700,11634,0,625,5792,830,4365,31,FILWD,http://pbs.twimg.com/profile_images/486981770709962752/QDhcG0Qh_normal.jpeg,true,true
247943631,10215,2,657,983,590,2650,32,jeffrey_heer,http://pbs.twimg.com/profile_images/2676964349/34a02188dd5f6c6dd0df08e12c0b6d8b_normal.jpeg,true,true
411681876,1449,3,473,1193,57,2400,29,NElmqvist,http://pbs.twimg.com/profile_images/659726848562196480/SFYOau5u_normal.jpg,true,true
43593,58994,0,2,9771,2604,4273,26,mbostock,http://pbs.twimg.com/profile_images/883703183297490945/UP4f6j-b_normal.jpg,true,true
17268874,8085,0,764,1901,572,424,28,benbendc,http://pbs.twimg.com/profile_images/63973398/ZC4U9863cr2_normal.JPG,true,true
188046229,1746,2,838,1578,73,1624,28,benjbach,http://pbs.twimg.com/profile_images/1103673747549102080/EBjzgFyD_normal.png,true,true
82713840,822,1,175,796,53,105,27,dr_pi,http://pbs.twimg.com/profile_images/716400866/PetraSquare_normal.png,true,true
883747950085656577,996,0,199,113,38,283,27,miriah_meyer,http://pbs.twimg.com/profile_images/925955217463504896/5EgQ9qmw_normal.jpg,true,true
137712607,42884,1,507,33570,2778,431,25,visualisingdata,http://pbs.twimg.com/profile_images/1000851383363493893/fHt8A__Y_normal.jpg,true,true
