_from,_to,value
characters/1,characters/0,1
characters/2,characters/0,8
characters/3,characters/0,10
characters/3,characters/2,6
characters/4,characters/0,1
characters/5,characters/0,1
characters/6,characters/0,1
characters/7,characters/0,1
characters/8,characters/0,2
characters/0,characters/0,1
characters/11,characters/10,1
characters/11,characters/3,3
characters/11,characters/2,3
characters/11,characters/0,5
characters/12,characters/11,1
characters/13,characters/11,1
characters/14,characters/11,1
characters/15,characters/11,1
characters/17,characters/16,4
characters/18,characters/16,4
characters/18,characters/17,4
characters/19,characters/16,4
characters/19,characters/17,4
characters/19,characters/18,4
characters/20,characters/16,3
characters/20,characters/17,3
characters/20,characters/18,3
characters/20,characters/19,4
characters/21,characters/16,3
characters/21,characters/17,3
characters/21,characters/18,3
characters/21,characters/19,3
characters/21,characters/20,5
characters/22,characters/16,3
characters/22,characters/17,3
characters/22,characters/18,3
characters/22,characters/19,3
characters/22,characters/20,4
characters/22,characters/21,4
characters/23,characters/16,3
characters/23,characters/17,3
characters/23,characters/18,3
characters/23,characters/19,3
characters/23,characters/20,4
characters/23,characters/21,4
characters/23,characters/22,4
characters/23,characters/12,2
characters/23,characters/11,0
characters/24,characters/23,2
characters/24,characters/11,7
characters/25,characters/24,13
characters/25,characters/23,1
characters/25,characters/11,12
characters/26,characters/24,4
characters/26,characters/11,31
characters/26,characters/16,1
characters/26,characters/25,1
characters/27,characters/11,17
characters/27,characters/23,5
characters/27,characters/25,5
characters/27,characters/24,1
characters/27,characters/26,1
characters/28,characters/11,8
characters/28,characters/27,1
characters/29,characters/23,1
characters/29,characters/27,1
characters/29,characters/11,2
characters/30,characters/23,1
characters/31,characters/30,2
characters/31,characters/11,3
characters/31,characters/23,2
characters/31,characters/27,1
characters/32,characters/11,1
characters/33,characters/11,2
characters/33,characters/27,1
characters/34,characters/11,3
characters/34,characters/29,2
characters/35,characters/11,3
characters/35,characters/34,3
characters/35,characters/29,2
characters/36,characters/34,2
characters/36,characters/35,2
characters/36,characters/11,2
characters/36,characters/29,1
characters/37,characters/34,2
characters/37,characters/35,2
characters/37,characters/36,2
characters/37,characters/11,2
characters/37,characters/29,1
characters/38,characters/34,2
characters/38,characters/35,2
characters/38,characters/36,2
characters/38,characters/37,2
characters/38,characters/11,2
characters/38,characters/29,1
characters/39,characters/25,1
characters/40,characters/25,1
characters/41,characters/24,2
characters/41,characters/25,3
characters/42,characters/41,2
characters/42,characters/25,2
characters/42,characters/24,1
characters/43,characters/11,3
characters/43,characters/26,1
characters/43,characters/27,1
characters/44,characters/28,3
characters/44,characters/11,1
characters/45,characters/28,2
characters/47,characters/46,1
characters/48,characters/47,2
characters/48,characters/25,1
characters/48,characters/27,1
characters/48,characters/11,1
characters/49,characters/26,3
characters/49,characters/11,2
characters/50,characters/49,1
characters/50,characters/24,1
characters/51,characters/49,0
characters/51,characters/26,2
characters/51,characters/11,2
characters/52,characters/51,1
characters/52,characters/39,1
characters/53,characters/51,1
characters/54,characters/51,2
characters/54,characters/49,1
characters/54,characters/26,1
characters/55,characters/51,6
characters/55,characters/49,12
characters/55,characters/39,1
characters/55,characters/54,1
characters/55,characters/26,21
characters/55,characters/11,19
characters/55,characters/16,1
characters/55,characters/25,2
characters/55,characters/41,5
characters/55,characters/48,4
characters/56,characters/49,1
characters/56,characters/55,1
characters/57,characters/55,1
characters/57,characters/41,1
characters/57,characters/48,1
characters/58,characters/55,7
characters/58,characters/48,7
characters/58,characters/27,6
characters/58,characters/57,1
characters/58,characters/11,4
characters/59,characters/58,15
characters/59,characters/55,5
characters/59,characters/48,6
characters/59,characters/57,2
characters/60,characters/48,1
characters/60,characters/58,4
characters/60,characters/59,2
characters/61,characters/48,2
characters/61,characters/58,6
characters/61,characters/60,2
characters/61,characters/59,5
characters/61,characters/57,1
characters/61,characters/55,1
characters/62,characters/55,0
characters/62,characters/58,17
characters/62,characters/59,13
characters/62,characters/48,7
characters/62,characters/57,2
characters/62,characters/41,1
characters/62,characters/61,6
characters/62,characters/60,3
characters/63,characters/59,5
characters/63,characters/48,5
characters/63,characters/62,6
characters/63,characters/57,2
characters/63,characters/58,4
characters/63,characters/61,3
characters/63,characters/60,2
characters/63,characters/55,1
characters/64,characters/55,5
characters/64,characters/62,12
characters/64,characters/48,5
characters/64,characters/63,4
characters/64,characters/58,10
characters/64,characters/61,6
characters/64,characters/60,2
characters/64,characters/59,0
characters/64,characters/57,1
characters/64,characters/11,1
characters/65,characters/63,5
characters/65,characters/64,7
characters/65,characters/48,3
characters/65,characters/62,5
characters/65,characters/58,5
characters/65,characters/61,5
characters/65,characters/60,2
characters/65,characters/59,5
characters/65,characters/57,1
characters/65,characters/55,2
characters/66,characters/64,3
characters/66,characters/58,3
characters/66,characters/59,1
characters/66,characters/62,2
characters/66,characters/65,2
characters/66,characters/48,1
characters/66,characters/63,1
characters/66,characters/61,1
characters/66,characters/60,1
characters/67,characters/57,3
characters/68,characters/25,5
characters/68,characters/11,1
characters/68,characters/24,1
characters/68,characters/27,1
characters/68,characters/48,1
characters/68,characters/41,1
characters/69,characters/25,6
characters/69,characters/68,6
characters/69,characters/11,1
characters/69,characters/24,1
characters/69,characters/27,2
characters/69,characters/48,1
characters/69,characters/41,1
characters/70,characters/25,4
characters/70,characters/69,4
characters/70,characters/68,4
characters/70,characters/11,1
characters/70,characters/24,1
characters/70,characters/27,1
characters/70,characters/41,1
characters/70,characters/58,1
characters/71,characters/27,1
characters/71,characters/69,2
characters/71,characters/68,2
characters/71,characters/70,2
characters/71,characters/11,1
characters/71,characters/48,1
characters/71,characters/41,1
characters/71,characters/25,1
characters/72,characters/26,2
characters/72,characters/27,1
characters/72,characters/11,1
characters/73,characters/48,2
characters/74,characters/48,2
characters/74,characters/73,3
characters/75,characters/69,3
characters/75,characters/68,3
characters/75,characters/25,3
characters/75,characters/48,1
characters/75,characters/41,1
characters/75,characters/70,1
characters/75,characters/71,1
characters/76,characters/64,1
characters/76,characters/65,1
characters/76,characters/66,1
characters/76,characters/63,1
characters/76,characters/62,1
characters/76,characters/48,1
characters/76,characters/58,1
