airline,airline ID,source airport,_from,destination airport,_to,codeshare,stops,equipment
2B,410,AER,airports/2965,KZN,airports/2990,,0,CR2
2B,410,ASF,airports/2966,KZN,airports/2990,,0,CR2
2B,410,ASF,airports/2966,MRV,airports/2962,,0,CR2
2B,410,CEK,airports/2968,KZN,airports/2990,,0,CR2
2B,410,CEK,airports/2968,OVB,airports/4078,,0,CR2
2B,410,DME,airports/4029,KZN,airports/2990,,0,CR2
2B,410,DME,airports/4029,NBC,airports/6969,,0,CR2
2B,410,DME,airports/4029,UUA,airports/6160,,0,CR2
2B,410,EGO,airports/6156,KGD,airports/2952,,0,CR2
2B,410,EGO,airports/6156,KZN,airports/2990,,0,CR2
2B,410,GYD,airports/2922,NBC,airports/6969,,0,CR2
2B,410,KGD,airports/2952,EGO,airports/6156,,0,CR2
2B,410,KZN,airports/2990,AER,airports/2965,,0,CR2
2B,410,KZN,airports/2990,ASF,airports/2966,,0,CR2
2B,410,KZN,airports/2990,CEK,airports/2968,,0,CR2
2B,410,KZN,airports/2990,DME,airports/4029,,0,CR2
2B,410,KZN,airports/2990,EGO,airports/6156,,0,CR2
2B,410,KZN,airports/2990,LED,airports/2948,,0,CR2
2B,410,KZN,airports/2990,SVX,airports/2975,,0,CR2
2B,410,LED,airports/2948,KZN,airports/2990,,0,CR2
2B,410,LED,airports/2948,NBC,airports/6969,,0,CR2
2B,410,LED,airports/2948,UUA,airports/6160,,0,CR2
2B,410,MRV,airports/2962,ASF,airports/2966,,0,CR2
2B,410,NBC,airports/6969,DME,airports/4029,,0,CR2
2B,410,NBC,airports/6969,GYD,airports/2922,,0,CR2
2B,410,NBC,airports/6969,LED,airports/2948,,0,CR2
2B,410,NBC,airports/6969,SVX,airports/2975,,0,CR2
2B,410,NJC,airports/2972,SVX,airports/2975,,0,CR2
2B,410,NJC,airports/2972,UUA,airports/6160,,0,CR2
2B,410,NUX,airports/4364,SVX,airports/2975,,0,CR2
2B,410,OVB,airports/4078,CEK,airports/2968,,0,CR2
2B,410,OVB,airports/4078,SVX,airports/2975,,0,CR2
2B,410,SVX,airports/2975,KZN,airports/2990,,0,CR2
2B,410,SVX,airports/2975,NBC,airports/6969,,0,CR2
2B,410,SVX,airports/2975,NJC,airports/2972,,0,CR2
2B,410,SVX,airports/2975,NUX,airports/4364,,0,CR2
2B,410,SVX,airports/2975,OVB,airports/4078,,0,CR2
2B,410,UUA,airports/6160,DME,airports/4029,,0,CR2
2B,410,UUA,airports/6160,LED,airports/2948,,0,CR2
2B,410,UUA,airports/6160,NJC,airports/2972,,0,CR2
2G,1654,BTK,airports/2936,IKT,airports/2937,,0,A81
2G,1654,BTK,airports/2936,OVB,airports/4078,,0,A81
2G,1654,CEK,airports/2968,OVB,airports/4078,,0,A81
2G,1654,HTA,airports/2935,IKT,airports/2937,,0,AN4
2G,1654,IKT,airports/2937,BTK,airports/2936,,0,A81
2G,1654,IKT,airports/2937,HTA,airports/2935,,0,AN4
2G,1654,IKT,airports/2937,ODO,airports/8944,,0,AN4
2G,1654,IKT,airports/2937,OVB,airports/4078,,0,A81
2G,1654,IKT,airports/2937,UKX,airports/6924,,0,AN4
2G,1654,IKT,airports/2937,ULK,airports/9026,,0,AN4
2G,1654,IKT,airports/2937,YKS,airports/2923,,0,A81
2G,1654,MJZ,airports/2925,OVB,airports/4078,,0,A81
2G,1654,ODO,airports/8944,IKT,airports/2937,,0,AN4
